Date	WSPD	WVHT	u10
2014-01-07 21:50:00	13.3	2.61	13.348275426630696
2014-01-07 22:50:00	12.3	2.46	12.344645695305081
2014-01-07 23:50:00	12.2	2.38	12.244282722172517
2014-01-08 00:50:00	12.0	2.37	12.043556775907396
2014-01-08 01:50:00	11.7	2.3	11.742467856509709
2014-01-08 02:50:00	12.1	2.09	12.143919749039956
2014-01-08 03:50:00	11.7	2.18	11.742467856509709
2014-01-08 04:50:00	11.4	2.08	11.441378937112026
2014-01-08 05:50:00	10.9	1.93	10.939564071449217
2014-01-08 06:50:00	11.7	1.97	11.742467856509709
2014-01-08 07:50:00	10.6	1.95	10.638475152051532
2014-01-08 08:50:00	9.8	1.85	9.83557136699104
2014-01-08 09:50:00	9.4	1.91	9.434119474460793
2014-01-08 10:50:00	9.0	1.63	9.032667581930546
2014-01-08 11:50:00	8.0	1.61	8.02903785060493
2014-01-08 12:50:00	6.9	1.49	6.925045146146752
2014-01-08 13:50:00	8.4	1.42	8.430489743135176
2014-01-08 14:50:00	7.9	1.43	7.928674877472369
2014-01-08 15:50:00	7.8	1.38	7.828311904339807
2014-01-08 16:50:00	6.7	1.23	6.72431919988163
2014-01-08 17:50:00	6.2	1.16	6.22250433421882
2014-01-08 18:50:00	6.9	1.01	6.925045146146752
2014-01-08 19:50:00	8.2	1.02	8.229763796870053
2014-01-08 20:50:00	9.6	1.01	9.634845420725915
2014-01-08 21:50:00	9.9	1.16	9.935934340123602
2014-01-08 22:50:00	9.9	1.24	9.935934340123602
2014-01-09 00:50:00	8.1	1.24	8.129400823737491
2014-01-09 01:50:00	9.1	1.23	9.133030555063108
2014-01-09 02:50:00	9.1	1.2	9.133030555063108
2014-01-09 03:50:00	8.6	1.17	8.6312156894003
2014-01-09 04:50:00	9.2	1.19	9.233393528195668
2014-01-09 05:50:00	9.4	1.2	9.434119474460793
2014-01-09 06:50:00	10.3	1.35	10.337386232653849
2014-01-09 07:50:00	10.5	1.38	10.53811217891897
2014-01-09 08:50:00	10.2	1.44	10.237023259521285
2014-01-09 09:50:00	10.7	1.4	10.738838125184092
2014-01-09 10:50:00	9.9	1.35	9.935934340123602
2014-01-09 11:50:00	8.9	1.23	8.932304608797985
2014-01-09 12:50:00	6.7	1.13	6.72431919988163
2014-01-09 13:50:00	5.4	0.93	5.419600549158328
2014-01-09 14:50:00	5.4	0.88	5.419600549158328
2014-01-09 15:50:00	5.9	0.81	5.921415414821136
2014-01-09 16:50:00	5.3	0.68	5.319237576025766
2014-01-09 17:50:00	6.0	0.79	6.021778387953698
2014-01-09 18:50:00	5.6	0.72	5.620326495423451
2014-01-09 19:50:00	3.8	0.61	3.8137929790373413
2014-01-09 20:50:00	2.8	0.57	2.8101632477117255
2014-01-09 21:50:00	3.4	0.45	3.4123410865070953
2014-01-09 22:50:00	2.0	0.42	2.0072594626512323
2014-01-09 23:50:00	2.1	0.41	2.107622435783794
2014-01-10 00:50:00	1.4	0.36	1.4050816238558628
2014-01-10 01:50:00	1.1	0.38	1.1039927044581779
2014-01-10 02:50:00	1.2	0.33	1.2043556775907394
2014-01-10 03:50:00	3.2	0.37	3.2116151402419724
2014-01-10 04:50:00	2.8	0.35	2.8101632477117255
2014-01-10 05:50:00	3.3	0.33	3.311978113374533
2014-01-10 06:50:00	3.8	0.32	3.8137929790373413
2014-01-10 07:50:00	4.4	0.39	4.4159708178327115
2014-01-10 08:50:00	4.6	0.39	4.616696764097834
2014-01-10 09:50:00	4.1	0.39	4.114881898435026
2014-01-10 10:50:00	2.8	0.4	2.8101632477117255
2014-01-10 11:50:00	4.8	0.46	4.817422710362957
2014-01-10 12:50:00	5.1	0.45	5.118511629760643
2014-01-10 13:50:00	6.0	0.49	6.021778387953698
2014-01-10 14:50:00	6.5	0.56	6.5235932536165055
2014-01-10 15:50:00	7.0	0.61	7.025408119279313
2014-01-10 16:50:00	7.6	0.75	7.6275859580746825
2014-01-10 17:50:00	6.8	0.79	6.824682173014191
2014-01-10 18:50:00	5.9	0.81	5.921415414821136
2014-01-10 19:50:00	5.1	0.74	5.118511629760643
2014-01-10 20:50:00	6.1	0.71	6.122141361086259
2014-01-10 21:50:00	4.1	0.69	4.114881898435026
2014-01-10 22:50:00	3.7	0.65	3.71343000590478
2014-01-10 23:50:00	3.1	0.61	3.11125216710941
2014-01-11 00:50:00	2.1	0.63	2.107622435783794
2014-01-11 01:50:00	3.5	0.61	3.5127040596396566
2014-01-11 02:50:00	4.7	0.61	4.717059737230397
2014-01-11 03:50:00	4.5	0.68	4.516333790965273
2014-01-11 04:50:00	5.2	0.68	5.218874602893204
2014-01-11 05:50:00	6.6	0.71	6.623956226749066
2014-01-11 06:50:00	6.3	0.74	6.322867307351383
2014-01-11 07:50:00	7.0	0.82	7.025408119279313
2014-01-11 08:50:00	6.3	0.86	6.322867307351383
2014-01-11 09:50:00	7.2	0.81	7.2261340655444375
2014-01-11 10:50:00	7.9	0.86	7.928674877472369
2014-01-11 11:50:00	8.9	0.96	8.932304608797985
2014-01-11 12:50:00	11.7	1.12	11.742467856509709
2014-01-11 13:50:00	11.6	1.54	11.642104883377149
2014-01-11 14:50:00	15.1	2.03	15.154808943016805
2014-01-11 15:50:00	13.2	2.18	13.247912453498133
2014-01-11 16:50:00	12.6	2.26	12.645734614702766
2014-01-11 17:50:00	13.7	2.25	13.749727319160941
2014-01-11 18:50:00	10.1	2.67	10.136660286388723
2014-01-11 19:50:00	12.0	2.44	12.043556775907396
2014-01-11 20:50:00	13.5	2.43	13.54900137289582
2014-01-11 21:50:00	13.1	2.68	13.147549480365571
2014-01-11 22:50:00	13.8	3.01	13.850090292293505
2014-01-11 23:50:00	13.8	3.1	13.850090292293505
2014-01-12 00:50:00	10.1	3.13	10.136660286388723
2014-01-12 01:50:00	5.6	3.25	5.620326495423451
2014-01-12 02:50:00	5.6	3.68	5.620326495423451
2014-01-12 03:50:00	8.8	4.16	8.831941635665423
2014-01-12 04:50:00	9.4	4.39	9.434119474460793
2014-01-12 05:50:00	10.8	4.31	10.839201098316655
2014-01-12 06:50:00	12.0	4.1	12.043556775907396
2014-01-12 07:50:00	10.7	4.28	10.738838125184092
2014-01-12 08:50:00	9.3	4.3	9.333756501328232
2014-01-12 09:50:00	8.6	4.27	8.6312156894003
2014-01-12 10:50:00	9.6	3.68	9.634845420725915
2014-01-12 11:50:00	11.0	3.23	11.039927044581779
2014-01-12 12:50:00	11.9	3.54	11.943193802774834
2014-01-12 13:50:00	11.8	3.24	11.842830829642272
2014-01-12 14:50:00	11.3	3.47	11.341015963979464
2014-01-12 15:50:00	10.6	3.14	10.638475152051532
2014-01-12 16:50:00	11.4	3.15	11.441378937112026
2014-01-12 17:50:00	11.4	2.84	11.441378937112026
2014-01-12 18:50:00	11.1	2.51	11.140290017714339
2014-01-12 19:50:00	10.1	2.78	10.136660286388723
2014-01-12 20:50:00	10.5	2.42	10.53811217891897
2014-01-12 21:50:00	11.4	2.46	11.441378937112026
2014-01-12 22:50:00	12.6	2.44	12.645734614702766
2014-01-12 23:50:00	11.6	2.37	11.642104883377149
2014-01-13 00:50:00	11.1	2.11	11.140290017714339
2014-01-13 01:50:00	9.3	2.28	9.333756501328232
2014-01-13 02:50:00	8.9	2.02	8.932304608797985
2014-01-13 03:50:00	7.1	1.84	7.125771092411875
2014-01-13 04:50:00	9.9	1.82	9.935934340123602
